"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		108",서울,2021-05-01,80.8,47
"		108",서울,2021-05-02,67.9,41
"		108",서울,2021-05-03,56.4,27
"		108",서울,2021-05-04,82.6,53
"		108",서울,2021-05-05,64.4,29
"		108",서울,2021-05-06,46.4,27
"		108",서울,2021-05-07,60.3,38
"		108",서울,2021-05-08,66.1,36
"		108",서울,2021-05-09,51.3,25
"		108",서울,2021-05-10,67.9,59
"		108",서울,2021-05-11,48.9,28
"		108",서울,2021-05-12,39.5,26
"		108",서울,2021-05-13,54.4,36
"		108",서울,2021-05-14,60.3,35
"		108",서울,2021-05-15,79.5,56
"		108",서울,2021-05-16,97.6,94
"		108",서울,2021-05-17,93,86
"		108",서울,2021-05-18,70.5,45
"		108",서울,2021-05-19,52.3,31
"		108",서울,2021-05-20,59.8,42
"		108",서울,2021-05-21,86.5,73
"		108",서울,2021-05-22,69.3,43
"		108",서울,2021-05-23,64.4,46
"		108",서울,2021-05-24,61,28
"		108",서울,2021-05-25,72.3,37
"		108",서울,2021-05-26,58.5,31
"		108",서울,2021-05-27,83,52
"		108",서울,2021-05-28,86,66
"		108",서울,2021-05-29,79.8,59
"		108",서울,2021-05-30,73,37
"		108",서울,2021-05-31,78.9,63
"		108",서울,2021-06-01,74.6,57
"		108",서울,2021-06-02,64.4,37
"		108",서울,2021-06-03,80.8,59
"		108",서울,2021-06-04,69.4,38
"		108",서울,2021-06-05,68.1,40
"		108",서울,2021-06-06,69.6,48
"		108",서울,2021-06-07,71.5,57
"		108",서울,2021-06-08,69.6,43
"		108",서울,2021-06-09,59.1,36
"		108",서울,2021-06-10,68.5,43
"		108",서울,2021-06-11,84.5,70
"		108",서울,2021-06-12,74.6,49
"		108",서울,2021-06-13,72.6,54
"		108",서울,2021-06-14,68.8,50
"		108",서울,2021-06-15,79.1,68
"		108",서울,2021-06-16,59.9,46
"		108",서울,2021-06-17,71.4,58
"		108",서울,2021-06-18,92.1,82
"		108",서울,2021-06-19,74,49
"		108",서울,2021-06-20,73.3,48
"		108",서울,2021-06-21,67,45
"		108",서울,2021-06-22,67.9,41
"		108",서울,2021-06-23,70.5,49
"		108",서울,2021-06-24,71.1,51
"		108",서울,2021-06-25,69,48
"		108",서울,2021-06-26,78.5,63
"		108",서울,2021-06-27,72.1,43
"		108",서울,2021-06-28,76.4,57
"		108",서울,2021-06-29,78.6,56
"		108",서울,2021-06-30,77.9,55
"		108",서울,2021-07-01,70.9,45
"		108",서울,2021-07-02,64.1,47
"		108",서울,2021-07-03,80,62
"		108",서울,2021-07-04,96.8,91
"		108",서울,2021-07-05,80.3,64
"		108",서울,2021-07-06,73.4,54
"		108",서울,2021-07-07,78.5,65
"		108",서울,2021-07-08,81.6,66
"		108",서울,2021-07-09,77.3,62
"		108",서울,2021-07-10,80.4,60
"		108",서울,2021-07-11,86.8,81
"		108",서울,2021-07-12,75.1,58
"		108",서울,2021-07-13,76.1,62
"		108",서울,2021-07-14,71.4,56
"		108",서울,2021-07-15,71.1,51
"		108",서울,2021-07-16,68.4,44
"		108",서울,2021-07-17,63.1,50
"		108",서울,2021-07-18,62.5,46
"		108",서울,2021-07-19,80.1,61
"		108",서울,2021-07-20,75.8,58
"		108",서울,2021-07-21,64,40
"		108",서울,2021-07-22,59.8,37
"		108",서울,2021-07-23,61.8,42
"		108",서울,2021-07-24,57.4,37
"		108",서울,2021-07-25,55.8,40
"		108",서울,2021-07-26,54.9,40
"		108",서울,2021-07-27,60.5,43
"		108",서울,2021-07-28,67.4,52
"		108",서울,2021-07-29,69.9,57
"		108",서울,2021-07-30,63.1,44
"		108",서울,2021-07-31,69.9,52
"		108",서울,2021-08-01,81.8,71
"		108",서울,2021-08-02,82.6,69
"		108",서울,2021-08-03,76.9,60
"		108",서울,2021-08-04,70.6,51
"		108",서울,2021-08-05,68.1,53
"		108",서울,2021-08-06,68.4,57
"		108",서울,2021-08-07,65,48
"		108",서울,2021-08-08,74.8,57
"		108",서울,2021-08-09,62.4,42
"		108",서울,2021-08-10,62.5,46
"		108",서울,2021-08-11,70.3,49
"		108",서울,2021-08-12,67.1,52
"		108",서울,2021-08-13,70.4,57
"		108",서울,2021-08-14,63.9,51
"		108",서울,2021-08-15,59.6,41
"		108",서울,2021-08-16,61.1,39
"		108",서울,2021-08-17,65,46
"		108",서울,2021-08-18,69.6,48
"		108",서울,2021-08-19,57.1,42
"		108",서울,2021-08-20,63.6,50
"		108",서울,2021-08-21,88.1,76
"		108",서울,2021-08-22,81.5,63
"		108",서울,2021-08-23,89.3,78
"		108",서울,2021-08-24,93.6,89
"		108",서울,2021-08-25,85.5,73
"		108",서울,2021-08-26,84.9,75
"		108",서울,2021-08-27,83.5,67
"		108",서울,2021-08-28,80.4,57
"		108",서울,2021-08-29,82.6,65
"		108",서울,2021-08-30,77.5,57
"		108",서울,2021-08-31,93.3,77
"		108",서울,2021-09-01,83.1,71
"		108",서울,2021-09-02,70.3,56
"		108",서울,2021-09-03,60.3,38
"		108",서울,2021-09-04,57,45
"		108",서울,2021-09-05,61.1,51
"		108",서울,2021-09-06,70.1,51
"		108",서울,2021-09-07,98.1,94
"		108",서울,2021-09-08,81.3,58
"		108",서울,2021-09-09,76.5,47
"		108",서울,2021-09-10,76,49
"		108",서울,2021-09-11,73.1,49
"		108",서울,2021-09-12,64.6,41
"		108",서울,2021-09-13,67.1,49
"		108",서울,2021-09-14,63.3,41
"		108",서울,2021-09-15,57.5,44
"		108",서울,2021-09-16,61.1,46
"		108",서울,2021-09-17,61.4,45
"		108",서울,2021-09-18,65.1,44
"		108",서울,2021-09-19,62.9,49
"		108",서울,2021-09-20,63.6,48
"		108",서울,2021-09-21,85.1,59
"		108",서울,2021-09-22,79,56
"		108",서울,2021-09-23,67.3,48
"		108",서울,2021-09-24,67.5,46
"		108",서울,2021-09-25,72.6,66
"		108",서울,2021-09-26,63,50
"		108",서울,2021-09-27,66,52
"		108",서울,2021-09-28,75.1,54
"		108",서울,2021-09-29,93.5,87
"		108",서울,2021-09-30,83.9,62
"		108",서울,2021-10-01,75.8,42
"		108",서울,2021-10-02,77.1,50
"		108",서울,2021-10-03,69.5,40
