날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2024-09-10",108,29.4,25.6,33.9
"	2024-09-11",108,29,25.4,34.6
"	2024-09-12",108,25.4,24.8,27.1
"	2024-09-13",108,25.9,24.2,28
"	2024-09-14",108,28,25.2,32.2
"	2024-09-15",108,27.5,24.2,32.4
"	2024-09-16",108,26.8,21.3,32.2
"	2024-09-17",108,28.6,25.8,33.2
"	2024-09-18",108,29.4,26.5,33.6
"	2024-09-19",108,29.1,25.6,32.6
"	2024-09-20",108,25,17.9,28.6
"	2024-09-21",108,19.3,17.1,21.9
"	2024-09-22",108,21,16.9,26.7
"	2024-09-23",108,20.8,16.6,26.1
"	2024-09-24",108,21,15.6,26.9
"	2024-09-25",108,23.3,18.6,27.3
"	2024-09-26",108,23.6,21.1,28
"	2024-09-27",108,22.7,19.1,28
"	2024-09-28",108,23.2,19.2,27.9
"	2024-09-29",108,23.5,19.1,29
"	2024-09-30",108,23,18.3,28.5
"	2024-10-01",108,18.3,13.3,21.7
"	2024-10-02",108,14.9,11.6,19.9
"	2024-10-03",108,16.4,10.8,22.5
"	2024-10-04",108,17.6,11.9,24.2
"	2024-10-05",108,17.5,11.6,24.4
"	2024-10-06",108,15.4,12.3,17.9
"	2024-10-07",108,16.9,14,20.7
"	2024-10-08",108,17.7,12.7,23.9
"	2024-10-09",108,18.8,13.9,24.4
"	2024-10-10",108,18.8,15.3,24.1
"	2024-10-11",108,18.6,13.9,24.4
"	2024-10-12",108,18.3,13.4,24.7
"	2024-10-13",108,18.3,12.6,22.6
"	2024-10-14",108,19.3,17.6,21.5
"	2024-10-15",108,19.2,17.6,21.9
"	2024-10-16",108,18.2,14.4,24.2
"	2024-10-17",108,19,13.8,25.7
"	2024-10-18",108,17.4,16.2,18.8
"	2024-10-19",108,16.6,12.4,21.1
"	2024-10-20",108,13.4,10.5,17.8
"	2024-10-21",108,14.8,9.7,19.3
"	2024-10-22",108,15.5,14.9,16.6
"	2024-10-23",108,12.7,9.4,15.5
"	2024-10-24",108,12.5,7.1,18.4
"	2024-10-25",108,14.9,8.7,21.5
"	2024-10-26",108,17,10.7,24
"	2024-10-27",108,16,14,18.8
"	2024-10-28",108,15.7,12.3,20.4
"	2024-10-29",108,15,13.4,18.3
"	2024-10-30",108,15.7,11.4,21.4
"	2024-10-31",108,22.6,11,22.6
